"unixtime","open","high","low","close","volume","date","price","crypto"
1612432200,1.3e-06,1.31e-06,1.29e-06,1.3e-06,4179317,2021-02-04 09:50:00,0.040562015,"Dogecoin"
1612432260,1.29e-06,1.31e-06,1.29e-06,1.3e-06,4629631,2021-02-04 09:51:00,0.040508,"Dogecoin"
1612432320,1.31e-06,1.31e-06,1.29e-06,1.3e-06,4592272,2021-02-04 09:52:00,0.040523457,"Dogecoin"
1612432380,1.31e-06,1.33e-06,1.3e-06,1.33e-06,8839740,2021-02-04 09:53:00,0.0414531873,"Dogecoin"
1612432440,1.33e-06,1.33e-06,1.31e-06,1.31e-06,7465600,2021-02-04 09:54:00,0.0408569481,"Dogecoin"
1612432500,1.32e-06,1.32e-06,1.3e-06,1.31e-06,4738558,2021-02-04 09:55:00,0.0408482628,"Dogecoin"
1612432560,1.32e-06,1.32e-06,1.31e-06,1.31e-06,3969197,2021-02-04 09:56:00,0.0409078416,"Dogecoin"
1612432620,1.31e-06,1.32e-06,1.31e-06,1.31e-06,3120269,2021-02-04 09:57:00,0.0408991432,"Dogecoin"
1612432680,1.31e-06,1.32e-06,1.29e-06,1.3e-06,6133969,2021-02-04 09:58:00,0.040714739,"Dogecoin"
1612432740,1.29e-06,1.3e-06,1.29e-06,1.29e-06,3954390,2021-02-04 09:59:00,0.0404553804,"Dogecoin"
1612432800,1.3e-06,1.3e-06,1.28e-06,1.3e-06,5628927,2021-02-04 10:00:00,0.040764035,"Dogecoin"
1612432860,1.3e-06,1.3e-06,1.28e-06,1.28e-06,3684435,2021-02-04 10:01:00,0.0400258944,"Dogecoin"
1612432920,1.29e-06,1.29e-06,1.27e-06,1.28e-06,7782605,2021-02-04 10:02:00,0.0400605568,"Dogecoin"
1612432980,1.28e-06,1.28e-06,1.26e-06,1.27e-06,11776011,2021-02-04 10:03:00,0.0396931388,"Dogecoin"
1612433040,1.27e-06,1.29e-06,1.27e-06,1.28e-06,8368371,2021-02-04 10:04:00,0.039970624,"Dogecoin"
1612433100,1.28e-06,1.3e-06,1.28e-06,1.28e-06,5772037,2021-02-04 10:05:00,0.0399629184,"Dogecoin"
1612433160,1.29e-06,1.3e-06,1.28e-06,1.29e-06,9550271,2021-02-04 10:06:00,0.0402902475,"Dogecoin"
1612433220,1.28e-06,1.29e-06,1.26e-06,1.27e-06,17977403,2021-02-04 10:07:00,0.039682547,"Dogecoin"
1612433280,1.28e-06,1.28e-06,1.26e-06,1.27e-06,6042748,2021-02-04 10:08:00,0.0397148939,"Dogecoin"
1612433340,1.27e-06,1.28e-06,1.27e-06,1.28e-06,4717540,2021-02-04 10:09:00,0.0401121024,"Dogecoin"
