"ticker","baseCurrency","quoteCurrency","date","open","high","low","close","volume","volumeNotional","tradesDone","crypto","n","price"
"btceur","btc","eur",2021-01-28 10:15:00,25945.07,25964.84,25941.94,25947.14,0.5001938,12978.598555732,34,"Bitcoin",2,25964.84
"btceur","btc","eur",2021-01-28 10:16:00,25948.5024547069,25954.6918870529,25917.4172754385,25920.6178373057,3.79484731,98364.7868734376,44,"Bitcoin",2,25954.6918870529
"btceur","btc","eur",2021-01-28 10:17:00,25923.1819867107,25923.1819867107,25816.3403538354,25816.5482592431,3.6280026,93662.5042075596,167,"Bitcoin",2,25923.1819867107
"btceur","btc","eur",2021-01-28 10:18:00,25813.7160090909,25820.9502188454,25794.1401348642,25812.1095596761,1.57723884,40711.8617398564,53,"Bitcoin",2,25820.9502188454
"btceur","btc","eur",2021-01-28 10:19:00,25797.0503302713,25809.8839290006,25768.0647078473,25775.6755561103,1.02699287,26471.4350155586,59,"Bitcoin",2,25809.8839290006
"btceur","btc","eur",2021-01-28 10:20:00,25793.8939759996,25816.0712668765,25793.8939759996,25813.2307678351,0.58746991,15164.4963559893,33,"Bitcoin",2,25816.0712668765
"btceur","btc","eur",2021-01-28 10:21:00,25818.7597194866,25819.9285296688,25733.0475672779,25745.3383368508,4.62313032,119024.054263754,115,"Bitcoin",2,25819.9285296688
"btceur","btc","eur",2021-01-28 10:22:00,25733.5161038899,25733.8648561796,25694.3701044706,25709.9162261968,3.1897215,82007.4725498987,113,"Bitcoin",2,25733.8648561796
"btceur","btc","eur",2021-01-28 10:23:00,25701.0046756573,25762.3974741884,25688.4791648753,25753.9305087995,0.59328301,15279.3694115914,31,"Bitcoin",2,25762.3974741884
"btceur","btc","eur",2021-01-28 10:24:00,25724.7934080581,25748.2657265886,25716.4024517489,25741.7900923295,0.68913802,17739.6462554836,42,"Bitcoin",2,25748.2657265886
"btceur","btc","eur",2021-01-28 10:25:00,25732.9378472146,25772.0936245095,25728.7990410436,25771.9183483048,2.57019701,66238.9074807771,67,"Bitcoin",2,25772.0936245095
"btceur","btc","eur",2021-01-28 10:26:00,25757.48676801,25757.8491447309,25698.1635830347,25709.0092917108,1.52945787,39320.8465911102,69,"Bitcoin",2,25757.8491447309
"btceur","btc","eur",2021-01-28 10:28:00,25739.1882128828,25746.5436595301,25701.9632114045,25714.6988555399,0.72657688,18683.7056645978,34,"Bitcoin",2,25746.5436595301
"btceur","btc","eur",2021-01-28 10:29:00,25723.5936882013,25723.5936882013,25681.5658567137,25696.7262020599,0.74569805,19161.99862026,56,"Bitcoin",2,25723.5936882013
"btceur","btc","eur",2021-01-28 10:30:00,25698.5794174666,25748.4120836431,25666.7138017786,25745.7200838693,0.70511596,18153.7181328288,56,"Bitcoin",2,25748.4120836431
"btceur","btc","eur",2021-01-28 10:32:00,25752.8967547556,25756.8290274215,25723.8515589279,25756.8290274215,0.71409678,18392.8686714922,24,"Bitcoin",2,25756.8290274215
"btceur","btc","eur",2021-01-28 10:33:00,25755.74,25755.74,25720.17,25740.54,1.05419367,27135.5143303818,22,"Bitcoin",2,25755.74
"btceur","btc","eur",2021-01-28 10:34:00,25735.8151546022,25748.3610039824,25728.8865190322,25747.9366201992,0.48187658,12407.3276405984,18,"Bitcoin",2,25748.3610039824
"btceur","btc","eur",2021-01-28 10:36:00,25742.1233243651,25756.2329834157,25740.5207351976,25749.2683800902,0.52632015,13552.3587961993,14,"Bitcoin",2,25756.2329834157
"btceur","btc","eur",2021-01-28 10:37:00,25747.3060973165,25752.912267174,25719.9224967689,25752.2152300692,0.63925043,16462.1146592743,22,"Bitcoin",2,25752.912267174
"btceur","btc","eur",2021-01-28 10:38:00,25750.5293364749,25760.5237096932,25744.3086749458,25751.5598799186,0.56006111,14422.4472105787,25,"Bitcoin",2,25760.5237096932
"btceur","btc","eur",2021-01-28 10:39:00,25758.8050926272,25823.5889554821,25758.8050926272,25823.5889554821,0.84356428,21783.8572242472,26,"Bitcoin",2,25823.5889554821
"btceur","btc","eur",2021-01-28 10:40:00,25811.7603741553,25811.7603741553,25760.1480883421,25778.0393718282,0.39992035,10309.1625278953,54,"Bitcoin",2,25811.7603741553
"btceur","btc","eur",2021-01-28 10:41:00,25772.7146983881,25780.6036460401,25745.016312688,25745.1301388622,0.45702845,11766.2569224125,54,"Bitcoin",2,25780.6036460401
"btceur","btc","eur",2021-01-28 10:42:00,25753.1221341337,25827.0556166241,25753.1221341337,25827.0556166241,2.96233412,76508.3680722633,36,"Bitcoin",2,25827.0556166241
"btceur","btc","eur",2021-01-28 10:43:00,25808.4559069809,25814.9104070978,25788.1315640814,25800.4738460331,1.60352236,41371.6367107093,31,"Bitcoin",2,25814.9104070978
"btceur","btc","eur",2021-01-28 10:44:00,25800.82301251,25801.2460835416,25784.3001023346,25799.5681697455,0.55362244,14283.2198810809,18,"Bitcoin",2,25801.2460835416
"btceur","btc","eur",2021-01-28 10:45:00,25801.3194408328,25826.1181275044,25773.8386674619,25819.2180204026,1.11316108,28740.9486163468,39,"Bitcoin",2,25826.1181275044
"btceur","btc","eur",2021-01-28 10:48:00,25884.4665082799,25937.3981114269,25884.4665082799,25921.7587164075,1.15172923,29854.8472066938,151,"Bitcoin",2,25937.3981114269
"btceur","btc","eur",2021-01-28 10:49:00,25930.8373155785,25965.1073917512,25922.9733688706,25958.8971697028,2.14313975,55633.5443905526,108,"Bitcoin",2,25965.1073917512
"btceur","btc","eur",2021-01-28 10:50:00,25956.8504325649,26077.7394312897,25953.4073514053,26077.6208964042,8.66739927,226025.15232083,297,"Bitcoin",2,26077.7394312897
"btceur","btc","eur",2021-01-28 10:51:00,26090.2965143878,26109.2641146737,26025.6843602046,26039.8434166124,8.00911744,208556.164042859,144,"Bitcoin",2,26109.2641146737
"btceur","btc","eur",2021-01-28 10:52:00,26044.8439677459,26048.8972268077,26011.4031489851,26014.8439677459,2.36273788,61466.2572848828,41,"Bitcoin",2,26048.8972268077
"btceur","btc","eur",2021-01-28 10:54:00,26009.2034451793,26020.5573466729,25973.9623741702,26010.2428868653,0.63370795,16482.8976988375,28,"Bitcoin",2,26020.5573466729
"btceur","btc","eur",2021-01-28 10:55:00,26012.9900588231,26013.9143694097,25972.4963041241,25978.0827246267,2.11859723,55037.094101105,36,"Bitcoin",2,26013.9143694097
"btceur","btc","eur",2021-01-28 10:56:00,26001.6498582259,26016.4266068965,25996.1950591306,26015.5484673827,1.53059642,39819.3053485125,33,"Bitcoin",2,26016.4266068965
"btceur","btc","eur",2021-01-28 10:57:00,25996.8623741376,26022.8244374894,25989.2678312444,26022.8244374894,1.1141435,28993.16069867,32,"Bitcoin",2,26022.8244374894
"btceur","btc","eur",2021-01-28 10:58:00,26013.9297258593,26041.7819560506,25980.8200116421,26027.3437802563,0.3085959,8031.9315784776,68,"Bitcoin",2,26041.7819560506
"btceur","btc","eur",2021-01-28 10:59:00,26039.7657256684,26039.9086075562,25984.2877225912,26018.9481174397,3.64916791,94947.5105221157,54,"Bitcoin",2,26039.9086075562
"btceur","btc","eur",2021-01-28 11:00:00,26025.4052019291,26115.7629990467,26024.6193384227,26057.1515979037,6.36001121,165723.776263337,290,"Bitcoin",2,26115.7629990467
