"ticker","date","open","high","low","close","volume"
"TSLA",2020-05-01 14:21:00,753.84,753.84,753.84,753.84,100
"TSLA",2020-05-01 14:22:00,753.84,753.84,753.84,753.84,0
"TSLA",2020-05-01 14:23:00,755.09,755.505,755.09,755.505,46
"TSLA",2020-05-01 14:24:00,754.915,755.105,753.67,753.67,367
"TSLA",2020-05-01 14:25:00,759.47,761.82,759.28,761.82,162
"TSLA",2020-05-01 14:26:00,760.435,762.71,760.3,762.71,1057
"TSLA",2020-05-01 14:27:00,760.94,761.87,760.94,761.87,200
"TSLA",2020-05-01 14:28:00,761.57,761.595,760.01,760.01,216
"TSLA",2020-05-01 14:29:00,760.75,760.75,760.57,760.57,140
"TSLA",2020-05-01 14:30:00,762.715,762.715,762.515,762.515,69
"TSLA",2020-05-01 14:31:00,761.84,761.84,760.2,760.2,105
"TSLA",2020-05-01 14:32:00,760.6,760.61,759.11,759.11,435
"TSLA",2020-05-01 14:33:00,758.805,758.805,758.805,758.805,100
"TSLA",2020-05-01 14:34:00,758.96,758.96,758.96,758.96,29
"TSLA",2020-05-01 14:35:00,762.85,764.97,762.85,764.97,86
"TSLA",2020-05-01 14:36:00,764.73,765.87,764.57,765.87,116
"TSLA",2020-05-01 14:37:00,763.49,763.49,763.49,763.49,23
"TSLA",2020-05-01 14:38:00,764.48,764.48,764.48,764.48,100
"TSLA",2020-05-01 14:39:00,764.48,764.48,764.48,764.48,0
"TSLA",2020-05-01 14:40:00,766.015,766.015,765.725,765.725,347
"TSLA",2020-05-01 14:41:00,767.49,767.94,767.49,767.94,200
"TSLA",2020-05-01 14:42:00,767.94,767.94,767.94,767.94,0
"TSLA",2020-05-01 14:43:00,767.94,767.94,767.94,767.94,0
"TSLA",2020-05-01 14:44:00,767.94,767.94,767.94,767.94,0
"TSLA",2020-05-01 14:45:00,768.25,768.25,768.25,768.25,300
"TSLA",2020-05-01 14:46:00,768.8,768.8,768.8,768.8,100
"TSLA",2020-05-01 14:47:00,768.8,768.8,768.8,768.8,0
"TSLA",2020-05-01 14:48:00,768.8,768.8,768.8,768.8,0
"TSLA",2020-05-01 14:49:00,766.13,766.47,764.98,764.98,300
"TSLA",2020-05-01 14:50:00,765.56,765.985,764.44,765.985,257
"TSLA",2020-05-01 14:51:00,764.39,764.39,764.01,764.01,200
"TSLA",2020-05-01 14:52:00,763.01,763.19,763.01,763.19,219
"TSLA",2020-05-01 14:53:00,763.19,763.19,763.19,763.19,100
"TSLA",2020-05-01 14:54:00,763.19,763.19,763.19,763.19,0
"TSLA",2020-05-01 14:55:00,763.235,764.94,763.235,764.94,101
"TSLA",2020-05-01 14:56:00,764.64,764.64,764.64,764.64,100
"TSLA",2020-05-01 14:57:00,764.89,766.36,764.86,765.55,308
"TSLA",2020-05-01 14:58:00,763.555,763.75,763.515,763.52,353
"TSLA",2020-05-01 14:59:00,762.935,762.935,762.935,762.935,100
"TSLA",2020-05-01 15:00:00,761.92,761.92,760.48,760.48,300
"TSLA",2020-05-01 15:01:00,760.48,760.48,760.48,760.48,0
"TSLA",2020-05-01 15:02:00,758.38,758.96,758.38,758.96,110
"TSLA",2020-05-01 15:03:00,758.96,758.96,758.96,758.96,0
"TSLA",2020-05-01 15:04:00,758.96,758.96,758.96,758.96,0
"TSLA",2020-05-01 15:05:00,760.1,760.1,759.43,759.43,149
"TSLA",2020-05-01 15:06:00,760.1,760.14,759.39,759.39,226
"TSLA",2020-05-01 15:07:00,759.87,759.87,759.87,759.87,82
"TSLA",2020-05-01 15:08:00,759.87,759.87,759.87,759.87,0
"TSLA",2020-05-01 15:09:00,760.95,760.95,760.95,760.95,96
"TSLA",2020-05-01 15:10:00,761.13,761.13,761.13,761.13,100
"TSLA",2020-05-01 15:11:00,757,757,750.93,751.03,1076
"TSLA",2020-05-01 15:12:00,750,751.76,743.52,746.18,3476
"TSLA",2020-05-01 15:13:00,746.59,746.68,741.56,746.68,4288
"TSLA",2020-05-01 15:14:00,745.21,749.26,744.74,747.65,541
"TSLA",2020-05-01 15:15:00,747.22,747.22,736.06,738.63,4059
"TSLA",2020-05-01 15:16:00,738.225,739.09,730.3,735.79,5001
"TSLA",2020-05-01 15:17:00,734.42,734.54,725.585,726.03,3251
"TSLA",2020-05-01 15:18:00,725.19,734.84,723.845,731.34,5043
"TSLA",2020-05-01 15:19:00,731.06,731.34,720.1,720.1,2913
"TSLA",2020-05-01 15:20:00,721.83,725.76,718.08,724.16,9060
"TSLA",2020-05-01 15:21:00,725.345,727.73,722.38,727.545,2986
"TSLA",2020-05-01 15:22:00,728.77,730.46,725.475,725.475,3602
"TSLA",2020-05-01 15:23:00,725.825,727.515,720.14,725.64,4760
"TSLA",2020-05-01 15:24:00,725.64,728.36,721.575,727.1,3863
"TSLA",2020-05-01 15:25:00,727.29,730.125,726.99,727.275,797
"TSLA",2020-05-01 15:26:00,725.415,734.84,725.01,734.84,860
"TSLA",2020-05-01 15:27:00,731.98,734.175,730.06,732.18,1801
"TSLA",2020-05-01 15:28:00,732.085,735.66,731.33,735.66,1734
"TSLA",2020-05-01 15:29:00,735.59,736.63,732.78,732.78,1773
"TSLA",2020-05-01 15:30:00,732.21,732.21,727.47,727.47,1167
"TSLA",2020-05-01 15:31:00,725.99,727.26,724.76,727.26,1037
"TSLA",2020-05-01 15:32:00,726.405,729.74,725.53,729.74,618
"TSLA",2020-05-01 15:33:00,727.72,727.72,725.02,726.03,1140
"TSLA",2020-05-01 15:34:00,725.79,728.15,717.545,717.55,2067
"TSLA",2020-05-01 15:35:00,717.73,722.74,716.58,721.58,1654
"TSLA",2020-05-01 15:36:00,720.75,720.75,711.13,711.82,3432
"TSLA",2020-05-01 15:37:00,712.45,714.21,706.02,713.49,5065
"TSLA",2020-05-01 15:38:00,714.525,714.99,705.52,705.52,1859
"TSLA",2020-05-01 15:39:00,704.62,711.685,704.34,709.825,4666
"TSLA",2020-05-01 15:40:00,709.98,710.785,706.565,710.05,4027
"TSLA",2020-05-01 15:41:00,708.18,708.18,701.13,702.31,4788
"TSLA",2020-05-01 15:42:00,705.99,710.13,704.115,707.34,2004
"TSLA",2020-05-01 15:43:00,705.57,710.23,704.11,706.57,4300
"TSLA",2020-05-01 15:44:00,706.175,706.31,703.29,703.29,1096
"TSLA",2020-05-01 15:45:00,703.92,707.99,698.17,706.905,2050
"TSLA",2020-05-01 15:46:00,704.42,707.875,703.9,705.81,1408
"TSLA",2020-05-01 15:47:00,702.42,704.98,699.05,704.3,3320
"TSLA",2020-05-01 15:48:00,704.96,705.72,697.01,702.35,1879
"TSLA",2020-05-01 15:49:00,702.93,704.135,701.93,703.33,760
"TSLA",2020-05-01 15:50:00,702.57,702.57,695.72,695.845,2020
"TSLA",2020-05-01 15:51:00,695.37,697.15,694.45,694.45,2181
"TSLA",2020-05-01 15:52:00,691.21,691.21,686.545,687.08,716
